Kit ID,Borough,Zipcode,Date Collected,Date Recieved,Lead First Draw (mg/L),Lead 1-2 Minute Flush (mg/L),Lead 5 Minute Flush (mg/L),Copper First Draw (mg/L),Copper 1-2 Minute Flush (mg/L),Copper 5 minute Flush (mg/L)
17245119,SUNNYSIDE,11104,11/02/2017,11/03/2017 02:20:08 PM,0.004,0.001,,0.162,0.041,
16224863,BROOKLYN,11237,07/29/2017,08/02/2017 09:30:34 AM,0.000,0.000,,0.078,0.013,
17245071,QUEENS VILLAGE,11429,10/20/2017,10/23/2017 02:07:56 PM,0.002,0.001,,0.060,0.019,
17243042,BROOKLYN,11233,06/28/2017,07/05/2017 02:52:43 PM,0.000,0.000,,0.191,0.076,
17239593,STATEN ISLAND,10301,05/19/2017,05/24/2017 02:27:03 PM,0.004,0.000,,0.107,0.013,
17343259,BROOKLYN,11225,07/15/2017,07/27/2017 11:30:19 AM,0.017,0.021,0.002,0.182,0.032,0.014
17238394,NEW YORK,10003,02/15/2017,02/21/2017 12:00:00 AM,0.000,0.000,,0.352,0.042,
17243582,BROOKLYN,11229,08/08/2017,08/11/2017 10:41:39 AM,0.000,0.000,,0.174,0.107,
17243781,NEW YORK,10027,08/10/2017,08/18/2017 10:31:33 AM,0.000,0.000,,0.112,0.061,
17246016,FOREST HILLS,11375,12/10/2017,12/12/2017 11:17:33 AM,0.000,0.000,,0.069,0.066,
17244665,BROOKLYN,11213,10/06/2017,10/10/2017 12:40:40 PM,0.000,0.000,,0.156,0.068,
17239448,FRESH MEADOWS,11366,04/18/2017,04/24/2017 03:13:41 PM,0.000,0.006,,0.129,0.128,
17344062,BROOKLYN,11234,08/30/2017,09/05/2017 04:13:42 PM,0.008,0.011,0.005,0.124,0.076,0.017
17245038,BROOKLYN,11221,11/30/2017,12/05/2017 08:38:40 AM,0.008,0.002,,0.193,0.024,
17239959,STATEN ISLAND,10310,04/06/2017,04/11/2017 10:35:24 AM,0.006,0.004,,0.210,0.014,
16230102,BROOKLYN,11238,04/03/2017,04/07/2017 09:25:18 AM,0.008,0.000,,0.131,0.028,
17241659,ASTORIA,11102,08/10/2017,08/14/2017 03:15:27 PM,0.000,0.000,,0.053,0.010,
17244992,BROOKLYN,11233,10/16/2017,10/19/2017 11:10:13 AM,0.000,0.000,,0.107,0.030,
17245173,BRONX,10454,11/03/2017,11/15/2017 01:36:14 PM,0.000,0.000,,0.121,0.020,
